n,s0
2583,108
2584,109
2585,110
2586,111
2587,112
2588,113
2589,114
2590,115
2591,116
2592,171
2593,171
2594,172
2595,174
2596,174
2597,175
2598,177
2599,177
2600,179
2601,181
2602,181
2603,182
2604,183
2605,184
2606,185
2607,186
2608,186
2609,188
2610,189
2611,189
2612,191
2613,192
2614,192
2615,194
2616,195
2617,195
2618,197
2619,199
2620,200
2621,-1
2622,-1
2623,-1
2624,-1
2625,-1
2626,-1
2627,-1
2628,-1
2629,-1
2630,-1
2631,-1
2632,-1
2633,-1
2634,-1
2635,-1
2636,-1
2637,-1
2638,-1
2639,-1
2640,-1
2641,-1
2642,-1
2643,-1
2644,-1
2645,-1
2646,-1
2647,-1
2648,-1
2649,-1
2650,-1
2651,-1
2652,-1
2653,-1
2654,-1
2655,-1
2656,-1
2657,-1
2658,-1
2659,-1
2660,-1
2661,-1
2662,-1
2663,-1
2664,-1
2665,-1
2666,-1
2667,-1
2668,-1
2669,-1
2670,-1
2671,-1
2672,-1
2673,102
2674,102
2675,102
2676,102
2677,102
2678,103
2679,105
2680,105
2681,106
2682,103
2683,103
2684,104
2685,103
2686,103
2687,105
2688,106
2689,106
2690,107
2691,103
2692,103
2693,104
2694,103
2695,103
2696,105
2697,106
2698,106
2699,107
2700,103
2701,103
2702,104
2703,103
2704,104
2705,106
2706,107
2707,107
2708,109
2709,104
2710,105
2711,106
2712,104
2713,105
2714,106
2715,107
2716,108
2717,109
2718,104
2719,105
2720,106
2721,104
2722,105
2723,106
2724,107
2725,108
2726,109
2727,104
2728,105
2729,106
2730,105
2731,106
2732,107
2733,108
2734,109
2735,110
2736,111
2737,112
2738,113
2739,114
2740,115
2741,116
2742,117
2743,118
2744,119
2745,120
2746,121
2747,122
2748,123
2749,124
2750,125
2751,126
2752,127
2753,128
2754,105
2755,105
2756,106
2757,108
2758,108
2759,109
2760,110
2761,111
2762,112
2763,106
2764,106
2765,108
2766,109
2767,109
2768,110
2769,111
2770,112
2771,113
2772,106
2773,106
2774,108
2775,109
2776,109
2777,110
2778,111
2779,112
2780,113
2781,106
2782,107
2783,109
2784,110
2785,110
2786,112
2787,113
2788,113
2789,115
2790,107
2791,108
2792,109
2793,110
2794,111
2795,112
2796,113
2797,114
2798,115
2799,107
2800,108
2801,109
2802,110
2803,111
2804,112
2805,113
2806,114
2807,115
2808,108
2809,109
2810,110
2811,111
2812,112
2813,113
2814,114
2815,115
2816,116
2817,117
2818,118
2819,119
2820,120
2821,121
2822,122
2823,123
2824,124
2825,125
2826,126
2827,127
2828,128
2829,129
2830,130
2831,131
2832,132
2833,133
2834,135
2835,190
2836,190
2837,191
2838,192
2839,193
2840,194
2841,195
2842,195
2843,197
2844,198
2845,198
2846,200
2847,-1
2848,-1
2849,-1
2850,-1
2851,-1
2852,-1
2853,-1
2854,-1
2855,-1
2856,-1
2857,-1
2858,-1
2859,-1
2860,-1
2861,-1
2862,-1
2863,-1
2864,-1
2865,-1
2866,-1
2867,-1
2868,-1
2869,-1
2870,-1
2871,-1
2872,-1
2873,-1
2874,-1
2875,-1
2876,-1
2877,-1
2878,-1
2879,-1
2880,-1
2881,-1
2882,-1
2883,-1
2884,-1
2885,-1
2886,-1
2887,-1
2888,-1
2889,-1
2890,-1
2891,-1
2892,-1
2893,-1
2894,-1
2895,-1
2896,-1
2897,-1
2898,-1
2899,-1
2900,-1
2901,-1
2902,-1
2903,-1
2904,-1
2905,-1
2906,-1
2907,-1
2908,-1
2909,-1
2910,-1
2911,-1
2912,-1
2913,-1
2914,-1
2915,-1
2916,112
2917,112
2918,113
2919,112
2920,112
2921,114
2922,115
2923,115
2924,116
2925,112
2926,112
2927,113
