x, n0
1966, 176
1967, 177
1968, 179
1969, 181
1970, 181
1971, 181
1972, 182
1973, 184
1974, 186
1975, 186
1976, 187
1977, 188
1978, 190
1979, 195
1980, 191
1981, 192
1982, 193
1983, 195
1984, 200
1985, 196
1986, 197
1987, 198
1988, 200
1989, -1
1990, -1
1991, -1
1992, -1
1993, -1
1994, -1
1995, -1
1996, -1
1997, -1
1998, -1
1999, -1
2000, 83
2001, 83
2002, 84
2003, 85
2004, 86
2005, 83
2006, 83
2007, 84
2008, 85
2009, 86
2010, 83
2011, 83
2012, 84
2013, 85
2014, 86
2015, 83
2016, 84
2017, 85
2018, 86
2019, 87
2020, 84
2021, 85
2022, 86
2023, 87
2024, 88
2025, 84
2026, 85
2027, 86
2028, 87
2029, 88
2030, 84
2031, 85
2032, 86
2033, 87
2034, 88
2035, 84
2036, 85
2037, 86
2038, 87
2039, 88
2040, 85
2041, 86
2042, 87
2043, 88
2044, 89
2045, 90
2046, 91
2047, 92
2048, 93
2049, 94
2050, 120
2051, 121
2052, 122
2053, 123
2054, 124
2055, 125
2056, 126
2057, 127
2058, 128
2059, 129
2060, 130
2061, 131
2062, 132
2063, 133
2064, 135
2065, 136
2066, 137
2067, 138
2068, 138
2069, 140
2070, 140
2071, 141
2072, 142
2073, 143
2074, 145
2075, 170
2076, 171
2077, 172
2078, 173
2079, 175
2080, 175
2081, 176
2082, 177
2083, 178
2084, 180
2085, 180
2086, 181
2087, 182
2088, 184
2089, 186
2090, 186
2091, 186
2092, 187
2093, 189
2094, 191
2095, 190
2096, 191
2097, 192
2098, 194
2099, 196
2100, 196
2101, 197
2102, 198
2103, 200
2104, -1
2105, -1
2106, -1
2107, -1
2108, -1
2109, -1
2110, -1
2111, -1
2112, -1
2113, -1
2114, -1
2115, -1
2116, -1
2117, -1
2118, -1
2119, -1
2120, -1
2121, -1
2122, -1
2123, -1
2124, -1
2125, 88
2126, 88
2127, 89
2128, 90
2129, 91
2130, 88
2131, 88
