n,s0
1789,111
1790,111
1791,111
1792,112
1793,113
1794,114
1795,115
1796,116
1797,117
1798,118
1799,119
1800,120
1801,121
1802,112
1803,112
1804,112
1805,112
1806,112
1807,112
1808,113
1809,114
1810,115
1811,116
1812,117
1813,118
1814,119
1815,120
1816,121
1817,122
1818,123
1819,113
1820,113
1821,113
1822,113
1823,113
1824,114
1825,115
1826,116
1827,117
1828,118
1829,119
1830,120
1831,121
1832,122
1833,123
1834,124
1835,125
1836,114
1837,114
1838,114
1839,114
1840,115
1841,116
1842,117
1843,118
1844,119
1845,120
1846,121
1847,122
1848,123
1849,124
1850,125
1851,126
1852,127
1853,115
1854,115
1855,115
1856,116
1857,117
1858,118
1859,119
1860,120
1861,121
1862,122
1863,123
1864,124
1865,125
1866,126
1867,127
1868,128
1869,129
1870,116
1871,116
1872,117
1873,118
1874,119
1875,120
1876,121
1877,122
1878,123
1879,124
1880,125
1881,126
1882,127
1883,128
1884,129
1885,130
1886,131
1887,117
1888,118
1889,119
1890,120
1891,121
1892,122
1893,123
1894,124
1895,125
1896,126
1897,127
1898,128
1899,129
1900,130
1901,131
1902,132
1903,133
1904,119
1905,120
1906,121
1907,122
1908,123
1909,124
1910,125
1911,126
1912,127
1913,128
1914,129
1915,130
1916,131
1917,132
1918,133
1919,134
1920,136
1921,154
1922,155
1923,156
1924,157
1925,158
1926,159
1927,160
1928,161
1929,162
1930,163
1931,164
1932,165
1933,166
1934,167
1935,168
1936,169
1937,171
1938,188
1939,189
1940,190
1941,191
1942,192
1943,193
1944,194
1945,195
1946,196
1947,197
1948,198
1949,199
1950,200
1951,200
1952,-1
1953,-1
1954,-1
1955,-1
1956,-1
1957,-1
1958,-1
1959,-1
1960,-1
1961,-1
1962,-1
1963,-1
1964,-1
1965,-1
1966,-1
1967,-1
1968,-1
1969,-1
1970,-1
1971,-1
1972,-1
1973,-1
1974,-1
1975,-1
1976,-1
1977,-1
1978,-1
1979,-1
1980,-1
1981,-1
1982,-1
1983,-1
1984,-1
1985,-1
1986,-1
1987,-1
1988,-1
1989,-1
1990,-1
1991,-1
1992,-1
1993,-1
1994,-1
1995,-1
1996,-1
1997,-1
1998,-1
1999,-1
2000,-1
2001,-1
2002,-1
2003,-1
2004,-1
2005,-1
2006,-1
2007,-1
2008,-1
2009,-1
2010,-1
2011,-1
2012,-1
2013,-1
2014,-1
2015,-1
2016,-1
2017,-1
2018,-1
2019,-1
2020,-1
2021,-1
2022,-1
2023,126
2024,126
2025,126
2026,126
2027,126
2028,126
2029,126
2030,126
2031,126
2032,127
2033,128
2034,129
2035,130
2036,131
2037,132
2038,133
2039,134
2040,127
2041,127
2042,127
2043,127
2044,127
2045,127
2046,127
2047,127
2048,128
2049,129
2050,130
2051,131
2052,132
2053,133
2054,134
2055,135
2056,136
2057,128
2058,128
2059,128
2060,128
2061,128
2062,128
2063,128
2064,129
2065,130
2066,131
2067,132
2068,133
2069,134
2070,135
2071,136
2072,137
2073,138
2074,129
2075,129
2076,129
2077,129
2078,129
2079,129
2080,130
2081,131
2082,132
2083,133
2084,134
2085,135
2086,136
2087,137
2088,138
2089,139
2090,140
2091,130
2092,130
2093,130
2094,130
2095,130
2096,131
2097,132
2098,133
2099,134
2100,135
2101,136
2102,137
2103,138
2104,139
2105,140
2106,141
2107,142
2108,131
2109,131
2110,131
2111,131
2112,132
2113,133
2114,134
2115,135
2116,136
2117,137
2118,138
2119,139
2120,140
2121,141
2122,142
2123,143
2124,144
2125,132
2126,132
2127,132
2128,133
2129,134
2130,135
2131,136
2132,137
2133,138
2134,139
2135,140
2136,141
2137,142
2138,143
2139,144
2140,145
2141,146
2142,133
2143,133
2144,134
2145,135
2146,136
2147,137
2148,138
2149,139
2150,140
2151,141
2152,142
2153,143
2154,144
2155,145
2156,146
2157,147
2158,148
2159,134
2160,135
2161,136
2162,137
2163,138
2164,139
2165,140
2166,141
2167,142
2168,143
2169,144
2170,145
2171,146
2172,147
2173,148
2174,149
2175,150
2176,136
2177,137
2178,138
2179,139
2180,140
2181,141
2182,142
2183,143
2184,144
2185,145
2186,146
2187,147
2188,148
2189,149
2190,150
2191,151
2192,153
2193,171
2194,172
2195,173
2196,174
2197,175
2198,176
2199,177
2200,178
2201,179
2202,180
2203,181
2204,182
2205,183
2206,184
2207,185
2208,186
2209,188
2210,-1
2211,-1
2212,-1
2213,-1
2214,-1
2215,-1
2216,-1
2217,-1
2218,-1
2219,-1
2220,-1
2221,-1
2222,-1
2223,-1
2224,-1
2225,-1
2226,-1
2227,-1
2228,-1
2229,-1
2230,-1
2231,-1
2232,-1
2233,-1
2234,-1
2235,-1
2236,-1
2237,-1
2238,-1
2239,-1
2240,-1
2241,-1
2242,-1
2243,-1
2244,-1
2245,-1
2246,-1
2247,-1
2248,-1
2249,-1
2250,-1
2251,-1
2252,-1
2253,-1
2254,-1
2255,-1
2256,-1
2257,-1
2258,-1
2259,-1
2260,-1
2261,-1
2262,-1
2263,-1
2264,-1
2265,-1
2266,-1
2267,-1
2268,-1
2269,-1
2270,-1
2271,-1
2272,-1
2273,-1
2274,-1
2275,-1
2276,-1
2277,-1
2278,-1
2279,-1
2280,-1
2281,-1
2282,-1
2283,-1
2284,-1
2285,-1
2286,-1
2287,-1
2288,-1
2289,-1
2290,-1
2291,-1
2292,-1
2293,-1
2294,-1
2295,-1
2296,-1
2297,-1
2298,-1
2299,-1
2300,-1
2301,-1
2302,-1
2303,-1
2304,-1
2305,-1
2306,-1
2307,-1
2308,-1
